area		59			0.057%
fact		59			0.057%
potential		59			0.057%
sex		59			0.057%
shop		59			0.057%
stealth		59			0.057%
zip		59			0.057%
country		58			0.056%
direct		58			0.056%
enclose		58			0.056%
end		58			0.056%
mastercard		58			0.056%
understand		58			0.056%
window		58			0.056%
both		57			0.055%
currency		57			0.055%
effort		57			0.055%
else		57			0.055%
later		57			0.055%
mind		57			0.055%
past		57			0.055%
someone		57			0.055%
something		57			0.055%
tool		57			0.055%
easily		56			0.054%
example		56			0.054%
freedom		56			0.054%
further		56			0.054%
matter		56			0.054%
release		56			0.054%
text		56			0.054%
watch		56			0.054%
american		55			0.053%
anything		55			0.053%
collect		55			0.053%
high		55			0.053%
increase		55			0.053%
open		55			0.053%
postal		55			0.053%
value		55			0.053%
always		54			0.052%
competition		54			0.052%
control		54			0.052%
don		54			0.052%
express		54			0.052%
goal		54			0.052%
hear		54			0.052%
millions		54			0.052%
prove		54			0.052%
rich		54			0.052%
section		54			0.052%
select		54			0.052%
successful		54			0.052%
ticket		54			0.052%
absolutely		53			0.051%
action		53			0.051%
break		53			0.051%
circular		53			0.051%
contain		53			0.051%
content		53			0.051%
excite		53			0.051%
fresh		53			0.051%
invest		53			0.051%
monthly		53			0.051%
news		53			0.051%
paper		53			0.051%
stop		53			0.051%
virtual		53			0.051%
almost		52			0.05%
discover		52			0.05%
effective		52			0.05%
miss		52			0.05%
stock		52			0.05%
electronic		51			0.049%
huge		51			0.049%
loan		51			0.049%
test		51			0.049%
title		51			0.049%
cant		50			0.048%
info		50			0.048%
pick		50			0.048%
sales		50			0.048%
submit		50			0.048%
enjoy		49			0.047%
finally		49			0.047%
involve		49			0.047%
mlm		49			0.047%
play		49			0.047%
professional		49			0.047%
handle		48			0.046%
idea		48			0.046%
position		48			0.046%
reason		48			0.046%
review		48			0.046%
associate		47			0.045%
bring		47			0.045%
street		47			0.045%
large		46			0.044%
love		46			0.044%
material		46			0.044%
old		46			0.044%
delivery		45			0.044%
feel		45			0.044%
hot		45			0.044%
meet		45			0.044%
possible		45			0.044%
quality		45			0.044%
tvsr		45			0.044%
user		45			0.044%
commercial		44			0.043%
database		44			0.043%
enough		44			0.043%
post		44			0.043%
power		44			0.043%
profitable		44			0.043%
usa		44			0.043%
begin		43			0.042%
coffee		43			0.042%
completely		43			0.042%
doubt		43			0.042%
drive		43			0.042%
low		43			0.042%
rest		43			0.042%
around		42			0.041%
deal		42			0.041%
provider		42			0.041%
publish		42			0.041%
quickly		42			0.041%
travel		42			0.041%
version		42			0.041%
works		42			0.041%
against		41			0.04%
connection		41			0.04%
fast		41			0.04%
happy		41			0.04%
multus		41			0.04%
newsletter		41			0.04%
point		41			0.04%
recruit		41			0.04%
refund		41			0.04%
short		41			0.04%
toll		41			0.04%
vacation		41			0.04%
actually		40			0.039%
automatically		40			0.039%
club		40			0.039%
cut		40			0.039%
design		40			0.039%
entire		40			0.039%
feature		40			0.039%
filter		40			0.039%
htm		40			0.039%
law		40			0.039%
mass		40			0.039%
resource		40			0.039%
suite		40			0.039%
album		39			0.038%
amaze		39			0.038%
between		39			0.038%
case		39			0.038%
dear		39			0.038%
deliver		39			0.038%
either		39			0.038%
field		39			0.038%
house		39			0.038%
individual		39			0.038%
knowledge		39			0.038%
marketing		39			0.038%
obtain		39			0.038%
payable		39			0.038%
piece		39			0.038%
promote		39			0.038%
register		39			0.038%
self		39			0.038%
speed		39			0.038%
three		39			0.038%
worldwide		39			0.038%
worth		39			0.038%
age		38			0.037%
america		38			0.037%
benefit		38			0.037%
cable		38			0.037%
duplicate		38			0.037%
federal		38			0.037%
isp		38			0.037%
movie		38			0.037%
produce		38			0.037%
sincerely		38			0.037%
teach		38			0.037%
weekly		38			0.037%
whole		38			0.037%
child		37			0.036%
deposit		37			0.036%
fortune		37			0.036%
organization		37			0.036%
partner		37			0.036%
powerful		37			0.036%
rule		37			0.036%
seven		37			0.036%
billion		36			0.035%
chain		36			0.035%
consider		36			0.035%
domain		36			0.035%
dori		36			0.035%
government		36			0.035%
hello		36			0.035%
imagine		36			0.035%
mailer		36			0.035%
mortgage		36			0.035%
myself		36			0.035%
qualify		36			0.035%
relax		36			0.035%
truly		36			0.035%
update		36			0.035%
auto		35			0.034%
cent		35			0.034%
corporation		35			0.034%
degree		35			0.034%
ems		35			0.034%
greatest		35			0.034%
index		35			0.034%
industry		35			0.034%
judicial		35			0.034%
kind		35			0.034%
legitimate		35			0.034%
moment		35			0.034%
respond		35			0.034%
six		35			0.034%
telephone		35			0.034%
vol		35			0.034%
yes		35			0.034%
along		34			0.033%
asset		34			0.033%
bid		34			0.033%
digital		34			0.033%
drop		34			0.033%
forget		34			0.033%
format		34			0.033%
gift		34			0.033%
lead		34			0.033%
postage		34			0.033%
private		34			0.033%
retire		34			0.033%
sameday		34			0.033%
store		34			0.033%
unite		34			0.033%
ago		33			0.032%
air		33			0.032%
close		33			0.032%
deat		33			0.032%
direction		33			0.032%
directly		33			0.032%
enterprise		33			0.032%
goldrush		33			0.032%
hope		33			0.032%
insurance		33			0.032%
quick		33			0.032%
research		33			0.032%
rights		33			0.032%
signature		33			0.032%
trade		33			0.032%
university		33			0.032%
alter		32			0.031%
beautiful		32			0.031%
compuserve		32			0.031%
excellent		32			0.031%
financially		32			0.031%
forever		32			0.031%
grow		32			0.031%
prepare		32			0.031%
prize		32			0.031%
programs		32			0.031%
radio		32			0.031%
raise		32			0.031%
reduce		32			0.031%
second		32			0.031%
standard		32			0.031%
track		32			0.031%
addresses		31			0.03%
clean		31			0.03%
client		31			0.03%
eliminate		31			0.03%
error		31			0.03%
hesitate		31			0.03%
holiday		31			0.03%
hottest		31			0.03%
however		31			0.03%
initial		31			0.03%
luck		31			0.03%
magazine		31			0.03%
operate		31			0.03%
present		31			0.03%
spam		31			0.03%
unique		31			0.03%
bankruptcy		30			0.029%
campaign		30			0.029%
chat		30			0.029%
christmas		30			0.029%
class		30			0.029%
classify		30			0.029%
daily		30			0.029%
discount		30			0.029%
fantastic		30			0.029%
kit		30			0.029%
local		30			0.029%
locate		30			0.029%
network		30			0.029%
owner		30			0.029%
perfectly		30			0.029%
probably		30			0.029%
sexual		30			0.029%
source		30			0.029%
specific		30			0.029%
star		30			0.029%
succeed		30			0.029%
television		30			0.029%
valuable		30			0.029%
xxx		30			0.029%
agency		29			0.028%
currently		29			0.028%
exchange		29			0.028%
girl		29			0.028%
independent		29			0.028%
infoseek		29			0.028%
master		29			0.028%
membership		29			0.028%
original		29			0.028%
outside		29			0.028%
secure		29			0.028%
services		29			0.028%
sit		29			0.028%
trial		29			0.028%
undeliverable		29			0.028%
using		29			0.028%
alba		28			0.027%
alone		28			0.027%
color		28			0.027%
economy		28			0.027%
exclusive		28			0.027%
fund		28			0.027%
hold		28			0.027%
ignore		28			0.027%
longer		28			0.027%
mailbox		28			0.027%
necessary		28			0.027%
promotion		28			0.027%
resell		28			0.027%
road		28			0.027%
sender		28			0.027%
team		28			0.027%
technical		28			0.027%
tip		28			0.027%
together		28			0.027%
volume		28			0.027%
accurately		27			0.026%
afford		27			0.026%
bottom		27			0.026%
cdrom		27			0.026%
choice		27			0.026%
count		27			0.026%
employment		27			0.026%
expect		27			0.026%
favourite		27			0.026%
global		27			0.026%
href		27			0.026%
main		27			0.026%
millionaire		27			0.026%
party		27			0.026%
pop		27			0.026%
promise		27			0.026%
proof		27			0.026%
school		27			0.026%
spider		27			0.026%
story		27			0.026%
super		27			0.026%
usd		27			0.026%
wonder		27			0.026%
york		27			0.026%
ability		26			0.025%
application		26			0.025%
attention		26			0.025%
boy		26			0.025%
casino		26			0.025%
desire		26			0.025%
due		26			0.025%
extremely		26			0.025%
faster		26			0.025%
fully		26			0.025%
header		26			0.025%
history		26			0.025%
instead		26			0.025%
instructions		26			0.025%
key		26			0.025%
night		26			0.025%
optional		26			0.025%
prompt		26			0.025%
public		26			0.025%
sample		26			0.025%
study		26			0.025%
stuff		26			0.025%
substantial		26			0.025%
themselve		26			0.025%
upon		26			0.025%
woman		26			0.025%
achieve		25			0.024%
act		25			0.024%
beach		25			0.024%
claim		25			0.024%
especially		25			0.024%
estate		25			0.024%
excess		25			0.024%
exist		25			0.024%
eye		25			0.024%
far		25			0.024%
guaranteed		25			0.024%
immediate		25			0.024%
instant		25			0.024%
lucky		25			0.024%
obviously		25			0.024%
overnight		25			0.024%
owe		25			0.024%
paste		25			0.024%
period		25			0.024%
protect		25			0.024%
quot		25			0.024%
replace		25			0.024%
serious		25			0.024%
unlimit		25			0.024%
yet		25			0.024%
acquire		24			0.023%
advance		24			0.023%
block		24			0.023%
classified		24			0.023%
decision		24			0.023%
descrambler		24			0.023%
except		24			0.023%
florida		24			0.023%
half		24			0.023%
has		24			0.023%
host		24			0.023%
january		24			0.023%
modem		24			0.023%
national		24			0.023%
nor		24			0.023%
picture		24			0.023%
practically		24			0.023%
roll		24			0.023%
rom		24			0.023%
sorry		24			0.023%
though		24			0.023%
train		24			0.023%
unsubscribe		24			0.023%
waste		24			0.023%
winner		24			0.023%
apply		23			0.022%
bit		23			0.022%
camera		23			0.022%
celebrity		23			0.022%
center		23			0.022%
concept		23			0.022%
couple		23			0.022%
cyber		23			0.022%
december		23			0.022%
demo		23			0.022%
disk		23			0.022%
dollars		23			0.022%
earth		23			0.022%
five		23			0.022%
front		23			0.022%
gold		23			0.022%
gov		23			0.022%
introduce		23			0.022%
license		23			0.022%
man		23			0.022%
management		23			0.022%
marketer		23			0.022%
mean		23			0.022%
multiple		23			0.022%
nice		23			0.022%
option		23			0.022%
org		23			0.022%
prior		23			0.022%
registration		23			0.022%
regular		23			0.022%
sake		23			0.022%
satisfy		23			0.022%
sheet		23			0.022%
size		23			0.022%
surprise		23			0.022%
ten		23			0.022%
treat		23			0.022%
trouble		23			0.022%
view		23			0.022%
whether		23			0.022%
wide		23			0.022%
amazing		22			0.021%
commission		22			0.021%
current		22			0.021%
everyday		22			0.021%
explain		22			0.021%
gain		22			0.021%
genie		22			0.021%
higher		22			0.021%
inquiry		22			0.021%
interview		22			0.021%
ipcug		22			0.021%
issue		22			0.021%
junk		22			0.021%
late		22			0.021%
limited		22			0.021%
moneymake		22			0.021%
newsgroup		22			0.021%
penny		22			0.021%
pound		22			0.021%
recently		22			0.021%
seem		22			0.021%
stay		22			0.021%
technique		22			0.021%
third		22			0.021%
throughout		22			0.021%
vanish		22			0.021%
webmaster		22			0.021%
across		21			0.02%
appear		21			0.02%
boyfriend		21			0.02%
button		21			0.02%
carefully		21			0.02%
catch		21			0.02%
copyright		21			0.02%
downline		21			0.02%
expiration		21			0.02%
extract		21			0.02%
forum		21			0.02%
incredible		21			0.02%
install		21			0.02%
june		21			0.02%
largest		21			0.02%
lists		21			0.02%
means		21			0.02%
regard		21			0.02%
sometime		21			0.02%
teen		21			0.02%
totally		21			0.02%
weight		21			0.02%
whose		21			0.02%
agent		20			0.019%
ave		20			0.019%
average		20			0.019%
basis		20			0.019%
brand		20			0.019%
certificate		20			0.019%
correctly		20			0.019%
definitely		20			0.019%
did		20			0.019%
dramatically		20			0.019%
easier		20			0.019%
frank		20			0.019%
gamble		20			0.019%
graphic		20			0.019%
guy		20			0.019%
highly		20			0.019%
improve		20			0.019%
irs		20			0.019%
listen		20			0.019%
london		20			0.019%
numbers		20			0.019%
paradise		20			0.019%
park		20			0.019%
perfect		20			0.019%
poor		20			0.019%
quote		20			0.019%
relative		20			0.019%
retail		20			0.019%
spotlight		20			0.019%
wealth		20			0.019%
weekend		20			0.019%
advertiser		19			0.018%
announcement		19			0.018%
biggest		19			0.018%
canada		19			0.018%
channel		19			0.018%
collection		19			0.018%
days		19			0.018%
develop		19			0.018%
distance		19			0.018%
distribute		19			0.018%
establish		19			0.018%
expensive		19			0.018%
health		19			0.018%
intelligence		19			0.018%
lifetime		19			0.018%
loss		19			0.018%
lower		19			0.018%
maintain		19			0.018%
memory		19			0.018%
popular		19			0.018%
population		19			0.018%
quit		19			0.018%
range		19			0.018%
relate		19			0.018%
rush		19			0.018%
screen		19			0.018%
south		19			0.018%
sponsor		19			0.018%
staggering		19			0.018%
stamped		19			0.018%
trust		19			0.018%
ultimate		19			0.018%
unlimited		19			0.018%
url		19			0.018%
usually		19			0.018%
venture		19			0.018%
weeks		19			0.018%
avoid		18			0.017%
background		18			0.017%
bargain		18			0.017%
bel		18			0.017%
blank		18			0.017%
borrow		18			0.017%
cartel		18			0.017%
certain		18			0.017%
creditor		18			0.017%
dial		18			0.017%
exact		18			0.017%
finance		18			0.017%
forward		18			0.017%
hours		18			0.017%
inflation		18			0.017%
inside		18			0.017%
ordering		18			0.017%
plans		18			0.017%
pre		18			0.017%
preview		18			0.017%
proper		18			0.017%
property		18			0.017%
protection		18			0.017%
purpose		18			0.017%
recipient		18			0.017%
sent		18			0.017%
series		18			0.017%
significant		18			0.017%
social		18			0.017%
space		18			0.017%
traditional		18			0.017%
unless		18			0.017%
upgrade		18			0.017%
various		18			0.017%
whatever		18			0.017%
activity		17			0.016%
actual		17			0.016%
arrive		17			0.016%
band		17			0.016%
cleanest		17			0.016%
competitor		17			0.016%
comply		17			0.016%
court		17			0.016%
dave		17			0.016%
driver		17			0.016%
easiest		17			0.016%
entertainment		17			0.016%
event		17			0.016%
ext		17			0.016%
fabulous		17			0.016%
guideline		17			0.016%
honest		17			0.016%
image		17			0.016%
item		17			0.016%
listbot		17			0.016%
loader		17			0.016%
majority		17			0.016%
making		17			0.016%
mid		17			0.016%
minimal		17			0.016%
patent		17			0.016%
plain		17			0.016%
privacy		17			0.016%
pro		17			0.016%
promotional		17			0.016%
prospects		17			0.016%
publication		17			0.016%
reference		17			0.016%
scam		17			0.016%
secrets		17			0.016%
sequence		17			0.016%
sort		17			0.016%
sources		17			0.016%
submission		17			0.016%
summer		17			0.016%
supply		17			0.016%
testimonial		17			0.016%
throw		17			0.016%
tremendous		17			0.016%
trip		17			0.016%
virtually		17			0.016%
voice		17			0.016%
yahoo		17			0.016%
accountant		16			0.015%
ahead		16			0.015%
ambra		16			0.015%
apologize		16			0.015%
approach		16			0.015%
basically		16			0.015%
beat		16			0.015%
bet		16			0.015%
body		16			0.015%
broken		16			0.015%
care		16			0.015%
cinema		16			0.015%
clear		16			0.015%
corporations		16			0.015%
correct		16			0.015%
determine		16			0.015%
distribution		16			0.015%
document		16			0.015%
downpayment		16			0.015%
everythe		16			0.015%
fellow		16			0.015%
found		16			0.015%
futuresignal		16			0.015%
girlfriend		16			0.015%
golden		16			0.015%
goods		16			0.015%
hardware		16			0.015%
hobby		16			0.015%
hundreds		16			0.015%
inexpensive		16			0.015%
initially		16			0.015%
intrusion		16			0.015%
invite		16			0.015%
july		16			0.015%
label		16			0.015%
language		16			0.015%
laugh		16			0.015%
log		16			0.015%
mhz		16			0.015%
model		16			0.015%
obligation		16			0.015%
overload		16			0.015%
pencil		16			0.015%
phenomenon		16			0.015%
previously		16			0.015%
production		16			0.015%
project		16			0.015%
regardless		16			0.015%
reserve		16			0.015%
richer		16			0.015%
room		16			0.015%
saturday		16			0.015%
setup		16			0.015%
smtp		16			0.015%
solid		16			0.015%
solution		16			0.015%
statistics		16			0.015%
stepby		16			0.015%
student		16			0.015%
subscribe		16			0.015%
supplies		16			0.015%
surely		16			0.015%
tape		16			0.015%
term		16			0.015%
topic		16			0.015%
utility		16			0.015%
valid		16			0.015%
verify		16			0.015%
wife		16			0.015%
wrap		16			0.015%
agree		15			0.014%
amateur		15			0.014%
annual		15			0.014%
bull		15			0.014%
century		15			0.014%
college		15			0.014%
common		15			0.014%
compare		15			0.014%
compatible		15			0.014%
compile		15			0.014%
concern		15			0.014%
contract		15			0.014%
convince		15			0.014%
cover		15			0.014%
depend		15			0.014%
difference		15			0.014%
eat		15			0.014%
energy		15			0.014%
evaluating		15			0.014%
expense		15			0.014%
fall		15			0.014%
final		15			0.014%
firm		15			0.014%
hardcore		15			0.014%
ibm		15			0.014%
independence		15			0.014%
inform		15			0.014%
instruct		15			0.014%
john		15			0.014%
jump		15			0.014%
larger		15			0.014%
lay		15			0.014%
lease		15			0.014%
lottery		15			0.014%
manage		15			0.014%
mark		15			0.014%
maybe		15			0.014%
mine		15			0.014%
near		15			0.014%
ofs		15			0.014%
otherwise		15			0.014%
participant		15			0.014%
portion		15			0.014%
press		15			0.014%
prodigy		15			0.014%
ram		15			0.014%
realistic		15			0.014%
realize		15			0.014%
refinance		15			0.014%
snail		15			0.014%
specialize		15			0.014%
stamp		15			0.014%
subscriber		15			0.014%
table		15			0.014%
thousands		15			0.014%
transfer		15			0.014%
unsolicit		15			0.014%
vote		15			0.014%
washington		15			0.014%
addition		14			0.013%
affordable		14			0.013%
announce		14			0.013%
attach		14			0.013%
audio		14			0.013%
awesome		14			0.013%
bad		14			0.013%
banner		14			0.013%
certainly		14			0.013%
combine		14			0.013%
confidential		14			0.013%
connect		14			0.013%
conservative		14			0.013%
convenience		14			0.013%
drug		14			0.013%
entrepreneur		14			0.013%
extractor		14			0.013%
faith		14			0.013%
favorite		14			0.013%
general		14			0.013%
head		14			0.013%
hotmail		14			0.013%
journal		14			0.013%
kid		14			0.013%
mary		14			0.013%
mix		14			0.013%
newest		14			0.013%
north		14			0.013%
objective		14			0.013%
orlando		14			0.013%
pack		14			0.013%
parent		14			0.013%
password		14			0.013%
preorder		14			0.013%
pretty		14			0.013%
priority		14			0.013%
race		14			0.013%
released		14			0.013%
residual		14			0.013%
respect		14			0.013%
returns		14			0.013%
reveal		14			0.013%
savings		14			0.013%
scheme		14			0.013%
seek		14			0.013%
selle		14			0.013%
skill		14			0.013%
successfully		14			0.013%
surf		14			0.013%
tcps		14			0.013%
trash		14			0.013%
txt		14			0.013%
unit		14			0.013%
whatsoever		14			0.013%
wrong		14			0.013%
accessible		13			0.012%
although		13			0.012%
award		13			0.012%
bang		13			0.012%
batch		13			0.012%
biz		13			0.012%
cgus		13			0.012%
cheque		13			0.012%
comfort		13			0.012%
communication		13			0.012%
compliance		13			0.012%
consumer		13			0.012%
delphus		13			0.012%
describe		13			0.012%
door		13			0.012%
education		13			0.012%
emailer		13			0.012%
executive		13			0.012%
failure		13			0.012%
fat		13			0.012%
finish		13			0.012%
gang		13			0.012%
gay		13			0.012%
grand		13			0.012%
hundr		13			0.012%
johnson		13			0.012%
lawyer		13			0.012%
lite		13			0.012%
load		13			0.012%
manager		13			0.012%
match		13			0.012%
medical		13			0.012%
meg		13			0.012%
middle		13			0.012%
pacific		13			0.012%
pain		13			0.012%
patient		13			0.012%
paul		13			0.012%
photo		13			0.012%
pipeline		13			0.012%
player		13			0.012%
porn		13			0.012%
prefer		13			0.012%
progress		13			0.012%
proud		13			0.012%
reprint		13			0.012%
requirement		13			0.012%
retirement		13			0.012%
root		13			0.012%
separate		13			0.012%
shock		13			0.012%
svminus		13			0.012%
tips		13			0.012%
transaction		13			0.012%
truth		13			0.012%
tufftest		13			0.012%
wall		13			0.012%
warranty		13			0.012%
advertising		12			0.011%
anytime		12			0.011%
aside		12			0.011%
avenue		12			0.011%
believer		12			0.011%
black		12			0.011%
blvd		12			0.011%
buyer		12			0.011%
cgibin		12			0.011%
cheap		12			0.011%
christopher		12			0.011%
clothe		12			0.011%
comment		12			0.011%
compaq		12			0.011%
conceal		12			0.011%
conclude		12			0.011%
confident		12			0.011%
convert		12			0.011%
cram		12			0.011%
criminal		12			0.011%
diana		12			0.011%
difficult		12			0.011%
doctor		12			0.011%
draft		12			0.011%
ease		12			0.011%
edge		12			0.011%
engineer		12			0.011%
erickson		12			0.011%
europe		12			0.011%
face		12			0.011%
fastest		12			0.011%
foot		12			0.011%
force		12			0.011%
friday		12			0.011%
fulfill		12			0.011%
grant		12			0.011%
growth		12			0.011%
highway		12			0.011%
homebase		12			0.011%
interactive		12			0.011%
investnet		12			0.011%
itself		12			0.011%
legally		12			0.011%
lien		12			0.011%
manufacturer		12			0.011%
march		12			0.011%
mci		12			0.011%
medium		12			0.011%
monday		12			0.011%
moneymaking		12			0.011%
msn		12			0.011%
natural		12			0.011%
nek		12			0.011%
ours		12			0.011%
persistent		12			0.011%
practice		12			0.011%
profile		12			0.011%
prospect		12			0.011%
publisher		12			0.011%
pure		12			0.011%
raleigh		12			0.011%
ratio		12			0.011%
reader		12			0.011%
reality		12			0.011%
referral		12			0.011%
reg		12			0.011%
relatively		12			0.011%
removed		12			0.011%
reproduce		12			0.011%
required		12			0.011%
reread		12			0.011%
resident		12			0.011%
resort		12			0.011%
slip		12			0.011%
staff		12			0.011%
started		12			0.011%
starter		12			0.011%
strategy		12			0.011%
strip		12			0.011%
studio		12			0.011%
sunday		12			0.011%
survey		12			0.011%
tech		12			0.011%
thus		12			0.011%
touch		12			0.011%
trick		12			0.011%
useful		12			0.011%
utilize		12			0.011%
vehicle		12			0.011%
vision		12			0.011%
young		12			0.011%
adults		11			0.01%
amd		11			0.01%
appeal		11			0.01%
april		11			0.01%
art		11			0.01%
astonishment		11			0.01%
attack		11			0.01%
balance		11			0.01%
boundary		11			0.01%
brooklyn		11			0.01%
brown		11			0.01%
browser		11			0.01%
californium		11			0.01%
celebrate		11			0.01%
charle		11			0.01%
confidence		11			0.01%
dare		11			0.01%
datum		11			0.01%
death		11			0.01%
delay		11			0.01%
divorce		11			0.01%
doe		11			0.01%
double		11			0.01%
